link,product_name,brand_name,price,img_url
https://www.glasses.com/gl-us/persol/8056597598323,b'PO3286V',Persol,273.0,https://assets.glasses.com/is/image/Glasses/8056597598323__001.png?impolicy=GL_g-thumbnail-plp
https://www.glasses.com/gl-us/coach/725125386081,b'HC6199',Coach,196.0,https://assets.glasses.com/is/image/Glasses/725125386081__001.png?impolicy=GL_g-thumbnail-plp
https://www.glasses.com/gl-us/arnette/7895653244719,b'AN7212 RANGIROA',Arnette,115.0,https://assets.glasses.com/is/image/Glasses/7895653244719__001.png?impolicy=GL_g-thumbnail-plp
https://www.glasses.com/gl-us/armani-exchange/7895653245822,b'AX3097',Armani Exchange,119.0,https://assets.glasses.com/is/image/Glasses/7895653245822__001.png?impolicy=GL_g-thumbnail-plp
https://www.glasses.com/gl-us/michael-kors/725125387927,b'MK4097 Greve',Michael Kors,194.0,https://assets.glasses.com/is/image/Glasses/725125387927__001.png?impolicy=GL_g-thumbnail-plp
https://www.glasses.com/gl-us/tory-burch/725125389785,b'TY2131U',Tory Burch,205.0,https://assets.glasses.com/is/image/Glasses/725125389785__001.png?impolicy=GL_g-thumbnail-plp
https://www.glasses.com/gl-us/giorgio-armani/8056597735414,b'AR7235',Giorgio Armani,349.0,https://assets.glasses.com/is/image/Glasses/8056597735414__001.png?impolicy=GL_g-thumbnail-plp
https://www.glasses.com/gl-us/polo-ralph-lauren/8056597736893,b'PH2256',Polo Ralph Lauren,175.0,https://assets.glasses.com/is/image/Glasses/8056597736893__001.png?impolicy=GL_g-thumbnail-plp
https://www.glasses.com/gl-us/prada/8056597744430,b'PR 13ZS',Prada,517.0,https://assets.glasses.com/is/image/Glasses/8056597744430__001.png?impolicy=GL_g-thumbnail-plp
https://www.glasses.com/gl-us/tiffany/8056597750868,b'TF2227',Tiffany,382.0,https://assets.glasses.com/is/image/Glasses/8056597750868__001.png?impolicy=GL_g-thumbnail-plp
https://www.glasses.com/gl-us/vogue-eyewear/8056597681421,b'VO5443',Vogue Eyewear,99.0,https://assets.glasses.com/is/image/Glasses/8056597681421__001.png?impolicy=GL_g-thumbnail-plp
https://www.glasses.com/gl-us/gucci/889652133485,b'GG0241O',Gucci,625.0,https://assets.glasses.com/is/image/Glasses/889652133485__001.png?impolicy=GL_g-thumbnail-plp
https://www.glasses.com/gl-us/emporio-armani/8053672285468,b'EA1027',Emporio Armani,163.0,https://assets.glasses.com/is/image/Glasses/8053672285468__001.png?impolicy=GL_g-thumbnail-plp
https://www.glasses.com/gl-us/burberry/8053672489507,b'BE1289',Burberry,252.0,https://assets.glasses.com/is/image/Glasses/8053672489507__001.png?impolicy=GL_g-thumbnail-plp
https://www.glasses.com/gl-us/persol/8056597057455,b'PO3007VM',Persol,286.0,https://assets.glasses.com/is/image/Glasses/8056597057455__001.png?impolicy=GL_g-thumbnail-plp
https://www.glasses.com/gl-us/tiffany/8056597382434,b'TF2207',Tiffany,332.0,https://assets.glasses.com/is/image/Glasses/8056597382434__001.png?impolicy=GL_g-thumbnail-plp
https://www.glasses.com/gl-us/starck/8053672648324,b'SH1043X PL1043',Starck,421.0,https://assets.glasses.com/is/image/Glasses/8053672648324__001.png?impolicy=GL_g-thumbnail-plp
https://www.glasses.com/gl-us/versace/8056597384520,b'VE1275',Versace,256.0,https://assets.glasses.com/is/image/Glasses/8056597384520__001.png?impolicy=GL_g-thumbnail-plp
https://www.glasses.com/gl-us/tory-burch/725125367042,b'TY4008U',Tory Burch,222.0,https://assets.glasses.com/is/image/Glasses/725125367042__001.png?impolicy=GL_g-thumbnail-plp
https://www.glasses.com/gl-us/giorgio-armani/8053672879094,b'AR7160',Giorgio Armani,321.0,https://assets.glasses.com/is/image/Glasses/8053672879094__001.png?impolicy=GL_g-thumbnail-plp
https://www.glasses.com/gl-us/collection-glasses/8056597235815,b'GK2001',GLASSES.COM,55.0,https://assets.glasses.com/is/image/Glasses/8056597235815__001.png?impolicy=GL_g-thumbnail-plp
